"","date","season","observed","pop","predicted","predicted_upper","predicted_lower","baseline","baseline_upper","baseline_lower","flu_ah1","flu_upper_ah1","flu_lower_ah1","flu_ah3","flu_upper_ah3","flu_lower_ah3","flu_a2009","flu_upper_a2009","flu_lower_a2009","flu_b","flu_upper_b","flu_lower_b","rsv","rsv_upper","rsv_lower","age","var"
"19",1999-07-04,"1999/2000",0.0184,183154928,0.0177,0.0257,0.0096,0.0173,0.0246,0.0099,0,0,0,0,0,0,0,0,0,0,0,0,4e-04,0.0011,-3e-04,3,"pi_uc"
"20",1999-07-11,"1999/2000",0.0149,183154928,0.0174,0.0255,0.0092,0.0171,0.0245,0.0095,0,0,0,0,0,0,0,0,0,0,0,0,4e-04,0.001,-2e-04,3,"pi_uc"
"21",1999-07-18,"1999/2000",0.0147,183154928,0.0172,0.0253,0.0089,0.0168,0.0244,0.0091,0,0,0,0,0,0,0,0,0,0,0,0,4e-04,0.001,-2e-04,3,"pi_uc"
"22",1999-07-25,"1999/2000",0.0142,183154928,0.0168,0.0249,0.0087,0.0166,0.0243,0.0088,0,0,0,0,0,0,0,0,0,0,0,0,2e-04,6e-04,-1e-04,3,"pi_uc"
"23",1999-08-01,"1999/2000",0.0133,183154928,0.0168,0.0251,0.0084,0.0165,0.0243,0.0086,0,0,0,0,0,0,0,0,0,0,0,0,3e-04,8e-04,-2e-04,3,"pi_uc"
"24",1999-08-08,"1999/2000",0.0144,183154928,0.0166,0.0249,0.0082,0.0164,0.0243,0.0084,0,0,0,0,0,0,0,0,0,0,0,0,2e-04,6e-04,-1e-04,3,"pi_uc"
"25",1999-08-15,"1999/2000",0.0163,183154928,0.0165,0.0249,0.0081,0.0163,0.0244,0.0082,0,0,0,0,0,0,0,0,0,0,0,0,2e-04,5e-04,-1e-04,3,"pi_uc"
"26",1999-08-22,"1999/2000",0.0162,183154928,0.0164,0.0248,0.0081,0.0163,0.0245,0.0081,0,0,0,0,0,0,0,0,0,0,0,0,1e-04,3e-04,-1e-04,3,"pi_uc"
"27",1999-08-29,"1999/2000",0.0162,183154928,0.0165,0.0251,0.008,0.0164,0.0247,0.0081,0,0,0,0,0,0,0,0,0,0,0,0,1e-04,4e-04,-1e-04,3,"pi_uc"
"28",1999-09-05,"1999/2000",0.0164,183154928,0.0167,0.0254,0.0081,0.0165,0.0249,0.0082,0,0,0,0,0,0,0,0,0,0,0,0,2e-04,4e-04,-1e-04,3,"pi_uc"
