,date,season,observed,pop,predicted,predicted_upper,predicted_lower,baseline,baseline_upper,baseline_lower,flu_ah1,flu_upper_ah1,flu_lower_ah1,flu_ah3,flu_upper_ah3,flu_lower_ah3,flu_a2009,flu_upper_a2009,flu_lower_a2009,flu_b,flu_upper_b,flu_lower_b,rsv,rsv_upper,rsv_lower,age,var
19,1999-07-04,1999/2000,2.1297,34605153,2.1693,2.5463,1.8016,2.1172,2.4772,1.765,0,0,0,0,0,0,0,0,0,0,0,0,0.0521,0.0691,0.0365,5,pi_uc
20,1999-07-11,1999/2000,2.0807,34605153,2.1273,2.507,1.7565,2.0852,2.4512,1.727,0,0,0,0,0,0,0,0,0,0,0,0,0.042,0.0558,0.0295,5,pi_uc
21,1999-07-18,1999/2000,2.0895,34605153,2.0834,2.4623,1.713,2.0608,2.4323,1.6971,0,0,0,0,0,0,0,0,0,0,0,0,0.0226,0.03,0.0159,5,pi_uc
22,1999-07-25,1999/2000,2.1054,34605153,2.0766,2.464,1.6982,2.044,2.4206,1.6752,0,0,0,0,0,0,0,0,0,0,0,0,0.0327,0.0434,0.0229,5,pi_uc
23,1999-08-01,1999/2000,2.0569,34605153,2.0733,2.4674,1.6884,2.0346,2.4161,1.6613,0,0,0,0,0,0,0,0,0,0,0,0,0.0386,0.0513,0.0271,5,pi_uc
24,1999-08-08,1999/2000,2.0332,34605153,2.0746,2.4742,1.6846,2.0328,2.4187,1.6553,0,0,0,0,0,0,0,0,0,0,0,0,0.0418,0.0555,0.0293,5,pi_uc
25,1999-08-15,1999/2000,2.0043,34605153,2.0689,2.4688,1.6784,2.0386,2.4286,1.6572,0,0,0,0,0,0,0,0,0,0,0,0,0.0303,0.0402,0.0213,5,pi_uc
26,1999-08-22,1999/2000,1.9864,34605153,2.0744,2.4756,1.6827,2.0518,2.4456,1.6668,0,0,0,0,0,0,0,0,0,0,0,0,0.0226,0.03,0.0159,5,pi_uc
27,1999-08-29,1999/2000,1.9737,34605153,2.0987,2.5048,1.7027,2.0724,2.4698,1.6842,0,0,0,0,0,0,0,0,0,0,0,0,0.0263,0.0349,0.0185,5,pi_uc
28,1999-09-05,1999/2000,2.0159,34605153,2.1202,2.5273,1.7231,2.1006,2.5013,1.7093,0,0,0,0,0,0,0,0,0,0,0,0,0.0196,0.026,0.0138,5,pi_uc
29,1999-09-12,1999/2000,2.0569,34605153,2.166,2.5796,1.7631,2.1361,2.5399,1.7421,0,0,0,0,0,0,0,0,0,0,0,0,0.0299,0.0397,0.021,5,pi_uc
30,1999-09-19,1999/2000,2.143,34605153,2.22,2.6402,1.8112,2.1791,2.5858,1.7824,0,0,0,0,0,0,0,0,0,0,0,0,0.0409,0.0544,0.0287,5,pi_uc
31,1999-09-26,1999/2000,2.1846,34605153,2.2716,2.695,1.86,2.2294,2.6389,1.8303,0,0,0,0,0,0,0,0,0,0,0,0,0.0422,0.0561,0.0296,5,pi_uc
32,1999-10-03,1999/2000,2.269,34605153,2.3101,2.7298,1.9019,2.2871,2.6993,1.8857,0,0,0,0,0,0,0,0,0,0,0,0,0.023,0.0306,0.0162,5,pi_uc
33,1999-10-10,1999/2000,2.347,34605153,2.3888,2.8155,1.9742,2.3522,2.7668,1.9485,0,0,0,0,0,0,0,0,0,0,0,0,0.0366,0.0486,0.0257,5,pi_uc
34,1999-10-17,1999/2000,2.4361,34605153,2.4849,2.9218,2.061,2.4246,2.8417,2.0187,0,0,0,0,0,0,0,0,0,0,0,0,0.0603,0.0801,0.0423,5,pi_uc
35,1999-10-24,1999/2000,2.5262,34605153,2.5615,2.9997,2.1363,2.5043,2.9237,2.0962,0,0,0,0,0,0,0,0,0,0,0,0,0.0572,0.076,0.0401,5,pi_uc
36,1999-10-31,1999/2000,2.6268,34605153,2.6694,3.1115,2.2404,2.5913,3.013,2.1809,0,0,0,0.018,0.0187,0.0174,0,0,0,0,0,0,0.0601,0.0798,0.0422,5,pi_uc
37,1999-11-07,1999/2000,2.7071,34605153,2.7948,3.2457,2.3576,2.6847,3.1087,2.272,0,0,0,0.0331,0.0343,0.0319,0,0,0,-3.00E-04,-1.00E-04,-6.00E-04,0.0774,0.1027,0.0543,5,pi_uc
38,1999-11-14,1999/2000,2.7776,34605153,2.9157,3.3748,2.4709,2.7828,3.2092,2.3679,0,0,0,0.0398,0.0413,0.0384,0,0,0,-6.00E-04,-1.00E-04,-0.0012,0.0937,0.1244,0.0658,5,pi_uc
39,1999-11-21,1999/2000,2.8198,34605153,3.0587,3.5279,2.6044,2.8843,3.3128,2.467,0,0,0,0.0569,0.059,0.0549,0,0,0,0,0,0,0.1175,0.1561,0.0825,5,pi_uc
40,1999-11-28,1999/2000,2.8869,34605153,3.2139,3.6967,2.7468,2.9873,3.418,2.5677,0,0,0,0.078,0.0808,0.0752,0,0,0,-4.00E-04,-1.00E-04,-7.00E-04,0.149,0.1979,0.1046,5,pi_uc
41,1999-12-05,1999/2000,3.0123,34605153,3.3847,3.8728,2.9122,3.0903,3.5232,2.6684,0,0,0,0.1414,0.1465,0.1364,0,0,0,0,0,0,0.153,0.2032,0.1074,5,pi_uc
42,1999-12-12,1999/2000,3.1793,34605153,3.5374,4.0344,3.0563,3.1918,3.6267,2.7676,0,0,0,0.1757,0.1821,0.1695,0,0,0,0,0,0,0.1698,0.2256,0.1192,5,pi_uc
43,1999-12-19,1999/2000,3.4879,34605153,3.7687,4.2791,3.2748,3.2901,3.7269,2.8636,0,0,0,0.2876,0.2981,0.2774,0,0,0,-3.00E-04,-1.00E-04,-6.00E-04,0.1914,0.2542,0.1343,5,pi_uc
44,1999-12-26,1999/2000,4.2375,34605153,3.983,4.5029,3.4799,3.3835,3.8222,2.9549,0,0,0,0.3963,0.4107,0.3823,0,0,0,0,0,0,0.2032,0.2699,0.1426,5,pi_uc
45,2000-01-02,1999/2000,5.2478,34605153,4.4317,4.9789,3.9023,3.4706,3.9111,3.0399,3.00E-04,7.00E-04,-1.00E-04,0.7173,0.7434,0.6919,0,0,0,-2.00E-04,0,-4.00E-04,0.2437,0.3237,0.1711,5,pi_uc
46,2000-01-09,1999/2000,6.1089,34605153,4.7201,5.284,4.1745,3.5496,3.9918,3.1169,0.0023,0.0057,-0.0011,0.9098,0.9429,0.8776,0,0,0,-2.00E-04,-1.00E-04,-5.00E-04,0.2587,0.3436,0.1816,5,pi_uc
47,2000-01-16,1999/2000,6.7822,34605153,6.0899,6.6971,5.5012,3.619,4.0628,3.1844,0.0031,0.0079,-0.0015,2.2324,2.3136,2.1533,0,0,0,-2.00E-04,0,-4.00E-04,0.2355,0.3129,0.1653,5,pi_uc
48,2000-01-23,1999/2000,7.0654,34605153,6.712,7.3391,6.1032,3.6772,4.1225,3.2408,0.0023,0.0059,-0.0011,2.8022,2.904,2.7028,0,0,0,-8.00E-04,-2.00E-04,-0.0015,0.231,0.3068,0.1622,5,pi_uc
49,2000-01-30,1999/2000,6.777,34605153,6.0442,6.6494,5.4569,3.7226,4.1692,3.2845,9.00E-04,0.0022,-4.00E-04,2.0713,2.1466,1.9979,0,0,0,-1.00E-04,0,-2.00E-04,0.2495,0.3314,0.1751,5,pi_uc
50,2000-02-06,1999/2000,6.0644,34605153,5.6397,6.2339,5.0631,3.7536,4.2014,3.314,0,0,0,1.6219,1.6809,1.5644,0,0,0,-6.00E-04,-1.00E-04,-0.0012,0.2648,0.3517,0.1859,5,pi_uc
51,2000-02-13,1999/2000,5.3587,34605153,4.9202,5.5127,4.3466,3.7685,4.2174,3.3275,0.0016,0.0039,-7.00E-04,0.8114,0.8409,0.7826,0,0,0,-5.00E-04,-1.00E-04,-9.00E-04,0.3392,0.4506,0.2381,5,pi_uc
52,2000-02-20,1999/2000,4.7311,34605153,4.6899,5.2734,4.1246,3.7658,4.2156,3.3236,0.0012,0.003,-6.00E-04,0.5894,0.6109,0.5685,0,0,0,-9.00E-04,-2.00E-04,-0.0017,0.3344,0.4442,0.2347,5,pi_uc
53,2000-02-27,1999/2000,4.2797,34605153,4.4483,5.0318,3.8831,3.7439,4.1944,3.3006,0.0024,0.0061,-0.0012,0.3466,0.3592,0.3343,0,0,0,-1.00E-04,0,-1.00E-04,0.3554,0.4721,0.2495,5,pi_uc
54,2000-03-05,1999/2000,3.9168,34605153,4.2979,4.8727,3.7406,3.7024,4.1536,3.2583,0.001,0.0025,-5.00E-04,0.2507,0.2598,0.2418,0,0,0,-2.00E-04,0,-4.00E-04,0.344,0.4569,0.2415,5,pi_uc
55,2000-03-12,1999/2000,3.6388,34605153,4.0817,4.6456,3.5342,3.6435,4.0951,3.1986,0.0015,0.0037,-7.00E-04,0.1166,0.1209,0.1125,0,0,0,-7.00E-04,-2.00E-04,-0.0014,0.3208,0.4261,0.2252,5,pi_uc
56,2000-03-19,1999/2000,3.433,34605153,3.9254,4.4788,3.3872,3.5691,4.021,3.1236,0.0037,0.0094,-0.0018,0.0711,0.0737,0.0686,0,0,0,-7.00E-04,-2.00E-04,-0.0013,0.2822,0.3748,0.1981,5,pi_uc
57,2000-03-26,1999/2000,3.2458,34605153,3.805,4.3511,3.2735,3.4814,3.9336,3.0355,0.0024,0.0061,-0.0012,0.0547,0.0567,0.0528,0,0,0,-7.00E-04,-1.00E-04,-0.0012,0.2671,0.3548,0.1875,5,pi_uc
58,2000-04-02,1999/2000,3.114,34605153,3.6184,4.1459,3.1034,3.3826,3.835,2.9365,0.0043,0.0108,-0.002,0.0281,0.0291,0.0271,0,0,0,-8.00E-04,-2.00E-04,-0.0014,0.2041,0.2712,0.1433,5,pi_uc
59,2000-04-09,1999/2000,3.0082,34605153,3.4649,3.9827,2.9586,3.2749,3.7273,2.8286,0.004,0.0101,-0.0019,0.0083,0.0086,0.008,0,0,0,-6.00E-04,-1.00E-04,-0.0012,0.1782,0.2368,0.1251,5,pi_uc
60,2000-04-16,1999/2000,2.9204,34605153,3.2935,3.7916,2.8053,3.1605,3.6128,2.714,0.0019,0.0048,-9.00E-04,0.0018,0.0019,0.0018,0,0,0,-3.00E-04,-1.00E-04,-6.00E-04,0.1296,0.1722,0.091,5,pi_uc
61,2000-04-23,1999/2000,2.8169,34605153,3.1772,3.675,2.6891,3.0413,3.4935,2.5948,0.0011,0.0029,-5.00E-04,0.0039,0.0041,0.0038,0,0,0,-7.00E-04,-2.00E-04,-0.0013,0.1315,0.1747,0.0923,5,pi_uc
62,2000-04-30,1999/2000,2.7649,34605153,3.0353,3.526,2.5536,2.9197,3.3718,2.4732,7.00E-04,0.0017,-3.00E-04,0.0034,0.0035,0.0033,0,0,0,-8.00E-04,-2.00E-04,-0.0015,0.1124,0.1492,0.0789,5,pi_uc
63,2000-05-07,1999/2000,2.6788,34605153,2.8703,3.348,2.4002,2.7978,3.2497,2.3514,0.0012,0.0031,-6.00E-04,0,0,0,0,0,0,-5.00E-04,-1.00E-04,-9.00E-04,0.0718,0.0953,0.0504,5,pi_uc
64,2000-05-14,1999/2000,2.5875,34605153,2.729,3.1985,2.2663,2.6777,3.1293,2.2314,4.00E-04,0.001,-2.00E-04,0.0023,0.0023,0.0022,0,0,0,-0.001,-2.00E-04,-0.0019,0.0497,0.066,0.0349,5,pi_uc
65,2000-05-21,1999/2000,2.5285,34605153,2.616,3.0863,2.1525,2.5615,3.013,2.1154,9.00E-04,0.0022,-4.00E-04,0.0015,0.0016,0.0015,0,0,0,-4.00E-04,-1.00E-04,-7.00E-04,0.0524,0.0696,0.0368,5,pi_uc
66,2000-05-28,1999/2000,2.4719,34605153,2.484,2.9468,2.0273,2.4515,2.9028,2.0055,1.00E-04,3.00E-04,-1.00E-04,3.00E-04,3.00E-04,2.00E-04,0,0,0,-7.00E-04,-2.00E-04,-0.0013,0.0328,0.0436,0.023,5,pi_uc
67,2000-06-04,1999/2000,2.3881,34605153,2.379,2.8397,1.9242,2.3498,2.8009,1.9039,0,1.00E-04,0,0,0,0,0,0,0,-1.00E-04,0,-1.00E-04,0.0292,0.0387,0.0205,5,pi_uc
68,2000-06-11,1999/2000,2.3731,34605153,2.284,2.7436,1.8303,2.2586,2.7096,1.8127,0,0,0,0,0,0,0,0,0,-2.00E-04,0,-4.00E-04,0.0257,0.0341,0.018,5,pi_uc
69,2000-06-18,1999/2000,2.3933,34605153,2.2172,2.6804,1.7603,2.1799,2.6308,1.7341,0,0,0,0,0,0,0,0,0,0,0,0,0.0373,0.0496,0.0262,5,pi_uc
70,2000-06-25,1999/2000,2.3748,34605153,2.15,2.6121,1.694,2.116,2.5669,1.6701,0,0,0,0,0,0,0,0,0,0,0,0,0.034,0.0452,0.0239,5,pi_uc
71,2000-07-02,2000/2001,2.3414,34872347,2.0847,2.5411,1.6339,2.0683,2.5193,1.6224,0,0,0,0,0,0,0,0,0,0,0,0,0.0164,0.0218,0.0115,5,pi_uc
72,2000-07-09,2000/2001,2.3728,34872347,2.0486,2.5038,1.5989,2.0363,2.4875,1.5903,0,0,0,0,0,0,0,0,0,0,0,0,0.0123,0.0163,0.0086,5,pi_uc
73,2000-07-16,2000/2001,2.3071,34872347,2.026,2.4796,1.5776,2.0191,2.4704,1.5728,0,0,0,0,0,0,0,0,0,0,0,0,0.0069,0.0092,0.0049,5,pi_uc
74,2000-07-23,2000/2001,2.2758,34872347,2.0291,2.4852,1.5785,2.0154,2.467,1.5689,0,0,0,0,0,0,0,0,0,0,0,0,0.0137,0.0182,0.0096,5,pi_uc
75,2000-07-30,2000/2001,2.2585,34872347,2.0407,2.498,1.589,2.0245,2.4764,1.5776,0,0,0,0,0,0,0,0,0,0,0,0,0.0162,0.0215,0.0114,5,pi_uc
76,2000-08-06,2000/2001,2.2614,34872347,2.0647,2.5235,1.6117,2.0452,2.4975,1.598,0,0,0,0,0,0,0,0,0,0,0,0,0.0196,0.026,0.0137,5,pi_uc
77,2000-08-13,2000/2001,2.2304,34872347,2.0941,2.5527,1.6413,2.0765,2.5293,1.6289,0,0,0,0,0,0,0,0,0,0,0,0,0.0176,0.0234,0.0124,5,pi_uc
78,2000-08-20,2000/2001,2.2666,34872347,2.1262,2.5823,1.6757,2.1175,2.5707,1.6695,0,0,0,0,0,0,0,0,0,0,0,0,0.0088,0.0116,0.0061,5,pi_uc
79,2000-08-27,2000/2001,2.2958,34872347,2.1746,2.6307,1.724,2.1671,2.6208,1.7187,0,0,0,0,0,0,0,0,0,0,0,0,0.0075,0.0099,0.0052,5,pi_uc
80,2000-09-03,2000/2001,2.3216,34872347,2.2392,2.6982,1.786,2.2243,2.6785,1.7756,0,0,0,0,0,0,0,0,0,0,0,0,0.0148,0.0197,0.0104,5,pi_uc
81,2000-09-10,2000/2001,2.3296,34872347,2.3028,2.7623,1.8492,2.2882,2.7429,1.839,0,0,0,0,0,0,0,0,0,0,0,0,0.0146,0.0194,0.0102,5,pi_uc
82,2000-09-17,2000/2001,2.3853,34872347,2.3751,2.8361,1.9203,2.3576,2.8129,1.908,0,0,0,0,0,0,0,0,0,0,0,0,0.0175,0.0232,0.0123,5,pi_uc
83,2000-09-24,2000/2001,2.4105,34872347,2.4432,2.9028,1.9898,2.4317,2.8875,1.9817,0,0,0,0,0,0,0,0,0,0,0,0,0.0115,0.0153,0.0081,5,pi_uc
84,2000-10-01,2000/2001,2.4208,34872347,2.5323,2.9962,2.0751,2.5093,2.9657,2.059,0,0,0,0,0,0,0,0,0,0,0,0,0.023,0.0305,0.0161,5,pi_uc
85,2000-10-08,2000/2001,2.4942,34872347,2.6121,3.0764,2.1547,2.5896,3.0465,2.1389,0,0,0,0,0,0,0,0,0,0,0,0,0.0225,0.0299,0.0158,5,pi_uc
86,2000-10-15,2000/2001,2.6118,34872347,2.6891,3.1523,2.2328,2.6714,3.1288,2.2204,0,0,0,0,0,0,0,0,0,0,0,0,0.0177,0.0235,0.0124,5,pi_uc
87,2000-10-22,2000/2001,2.6365,34872347,2.7813,3.2483,2.3218,2.7538,3.2117,2.3025,0,0,0,0,0,0,0,0,0,0,0,0,0.0276,0.0366,0.0193,5,pi_uc
88,2000-10-29,2000/2001,2.7024,34872347,2.8708,3.3408,2.4088,2.8357,3.2941,2.3842,0,0,0,0,0,0,0,0,0,-1.00E-04,0,-2.00E-04,0.0352,0.0467,0.0247,5,pi_uc
89,2000-11-05,2000/2001,2.7695,34872347,2.9734,3.4514,2.5042,2.9166,3.3754,2.4649,5.00E-04,0.0012,-2.00E-04,0,0,0,0,0,0,0,0,0,0.0563,0.0748,0.0395,5,pi_uc
90,2000-11-12,2000/2001,2.7764,34872347,3.0496,3.5269,2.5813,2.9958,3.4551,2.544,1.00E-04,3.00E-04,-1.00E-04,0,0,0,0,0,0,-3.00E-04,-1.00E-04,-6.00E-04,0.0539,0.0716,0.0379,5,pi_uc
91,2000-11-19,2000/2001,2.8395,34872347,3.1543,3.6407,2.6779,3.0728,3.5324,2.6209,5.00E-04,0.0013,-3.00E-04,0.0026,0.0027,0.0025,0,0,0,-2.00E-04,0,-3.00E-04,0.0785,0.1043,0.0551,5,pi_uc
92,2000-11-26,2000/2001,2.9932,34872347,3.243,3.7358,2.7612,3.1469,3.6069,2.695,6.00E-04,0.0015,-3.00E-04,0.0011,0.0011,0.0011,0,0,0,-7.00E-04,-2.00E-04,-0.0014,0.0951,0.1263,0.0668,5,pi_uc
