"variable","importance","model"
"H1_cum_intensity",0.103824953568755,"Cond Random Forest"
"IVB_cum_intensity",0.0179626248585774,"Cond Random Forest"
"prior_dom_type_national",0.0175011463539702,"Cond Random Forest"
"H3_epi_size_prior",0.0239827611981026,"Cond Random Forest"
"H1_epi_size_prior",0.00350478840953918,"Cond Random Forest"
"IVB_epi_size_prior",0.00924459692913088,"Cond Random Forest"
"usa_bhatt_ep_mean",0.065783961068684,"Cond Random Forest"
"usa_wolf_ep_mean",0.0115123576918241,"Cond Random Forest"
"NA_bhatt_ep_lag1",0.0394135348692325,"Cond Random Forest"
"NA_bhatt_nonepitope_lag1",0.0227319545029166,"Cond Random Forest"
"HA_koel_lag2",0.0142515204132815,"Cond Random Forest"
"HA_titer_tree_lag2",0.0406165515105818,"Cond Random Forest"
"HA_wolf_lag2",0.0424973414245181,"Cond Random Forest"
"HA_wolf_nonepitope_lag2",0.00942053690463176,"Cond Random Forest"
"HA_std_lbi",0.0267487491002005,"Cond Random Forest"
"NA_std_lbi",0.0526288610929935,"Cond Random Forest"
"vac_combined",0.044961468418865,"Cond Random Forest"
"vac_combined_prior",0.0182999990006455,"Cond Random Forest"
"vac_cov_combined_prior",0.070874709384577,"Cond Random Forest"
"weighted_VE",0.01215514859098,"Cond Random Forest"
"weighted_VE_prior_season",0.0102425528598174,"Cond Random Forest"
"H1_cum_intensity",75.9724870472221,"Lasso"
"IVB_cum_intensity",52.2870377811292,"Lasso"
"prior_dom_type_national",33.1864624000541,"Lasso"
"H3_epi_size_prior",58.6502909168592,"Lasso"
"H1_epi_size_prior",0,"Lasso"
"IVB_epi_size_prior",0,"Lasso"
"usa_bhatt_ep_mean",73.0967130977722,"Lasso"
"usa_wolf_ep_mean",0,"Lasso"
"NA_bhatt_ep_lag1",0,"Lasso"
"NA_bhatt_nonepitope_lag1",0,"Lasso"
"HA_koel_lag2",0,"Lasso"
"HA_titer_tree_lag2",30.8709365946041,"Lasso"
"HA_wolf_lag2",92.5742779361523,"Lasso"
"HA_wolf_nonepitope_lag2",0,"Lasso"
"HA_std_lbi",0,"Lasso"
"NA_std_lbi",30.635877098288,"Lasso"
"vac_combined",71.4197272907707,"Lasso"
"vac_combined_prior",14.1115639169479,"Lasso"
"vac_cov_combined_prior",100,"Lasso"
"weighted_VE",0,"Lasso"
"weighted_VE_prior_season",0,"Lasso"
