"variable","importance","model"
"H1_cum_intensity",0.336470886081774,"Cond Random Forest"
"IVB_cum_intensity",0.0100861362952346,"Cond Random Forest"
"prior_dom_type_national",0.0659150436442554,"Cond Random Forest"
"H3_epi_size_prior",0.0369991872854561,"Cond Random Forest"
"H1_epi_size_prior",0.0140453370439705,"Cond Random Forest"
"IVB_epi_size_prior",0.00556850923663792,"Cond Random Forest"
"usa_bhatt_ep_mean",0.00682347473284699,"Cond Random Forest"
"usa_wolf_ep_mean",0.00943562533487306,"Cond Random Forest"
"NA_bhatt_ep_lag1",0.0472695939561043,"Cond Random Forest"
"NA_bhatt_nonepitope_lag1",0.00347650171169951,"Cond Random Forest"
"HA_koel_lag2",0.00974327227350633,"Cond Random Forest"
"HA_titer_tree_lag2",0.0427389292084188,"Cond Random Forest"
"HA_wolf_lag2",0.156455612384695,"Cond Random Forest"
"HA_wolf_nonepitope_lag2",0.0125486023682323,"Cond Random Forest"
"HA_std_lbi",0.0553265156596658,"Cond Random Forest"
"NA_std_lbi",0.0184639149927203,"Cond Random Forest"
"vac_combined",0.0395718566622409,"Cond Random Forest"
"vac_combined_prior",0.00729321858382646,"Cond Random Forest"
"vac_cov_combined_prior",0.00716433322370814,"Cond Random Forest"
"weighted_VE",0.0173940337068461,"Cond Random Forest"
"weighted_VE_prior_season",0.0315924053996107,"Cond Random Forest"
"H1_cum_intensity",100,"Lasso"
"IVB_cum_intensity",8.35255221437914,"Lasso"
"prior_dom_type_national",59.6102961073961,"Lasso"
"H3_epi_size_prior",17.2921818744711,"Lasso"
"H1_epi_size_prior",0,"Lasso"
"IVB_epi_size_prior",18.4520071778337,"Lasso"
"usa_bhatt_ep_mean",0,"Lasso"
"usa_wolf_ep_mean",0,"Lasso"
"NA_bhatt_ep_lag1",7.42865978386908,"Lasso"
"NA_bhatt_nonepitope_lag1",0,"Lasso"
"HA_koel_lag2",0,"Lasso"
"HA_titer_tree_lag2",29.0054477178634,"Lasso"
"HA_wolf_lag2",97.2380107830173,"Lasso"
"HA_wolf_nonepitope_lag2",0,"Lasso"
"HA_std_lbi",11.9508063584007,"Lasso"
"NA_std_lbi",0,"Lasso"
"vac_combined",25.1153580070471,"Lasso"
"vac_combined_prior",0,"Lasso"
"vac_cov_combined_prior",0,"Lasso"
"weighted_VE",0,"Lasso"
"weighted_VE_prior_season",0,"Lasso"
