"variable","importance","model"
"H1_cum_intensity",0.313177518779149,"Cond Random Forest"
"HA_wolf_lag2",0.12987571272202,"Cond Random Forest"
"NA_bhatt_ep_lag1",0.0631321398355423,"Cond Random Forest"
"HA_titer_tree_lag2",0.0431856166918156,"Cond Random Forest"
"usa_bhatt_ep_mean",0.0347878809845196,"Cond Random Forest"
"weighted_VE_prior_season",0.0338954229637897,"Cond Random Forest"
"prior_dom_type_national",0.029398395106209,"Cond Random Forest"
"H3_epi_size_prior",0.0263341680414666,"Cond Random Forest"
"vac_combined",0.017554810924319,"Cond Random Forest"
"ha_lbi_shannon",0.0160909768755719,"Cond Random Forest"
"weighted_VE",0.0159399020984646,"Cond Random Forest"
"na_lbi_shannon_lag1",0.0139475236782958,"Cond Random Forest"
"usa_wolf_ep_mean",0.0136729682591086,"Cond Random Forest"
"IVB_cum_intensity",0.0102525735121263,"Cond Random Forest"
"ha_lbi_shannon_lag1",0.0101545010656892,"Cond Random Forest"
"H1_epi_size_prior",0.00729179970837398,"Cond Random Forest"
"vac_combined_prior",0.00702811120240101,"Cond Random Forest"
"vac_cov_combined",0.00626605531208456,"Cond Random Forest"
"vac_cov_combined_prior",0.00550937340169819,"Cond Random Forest"
"IVB_epi_size_prior",0.00262484763664463,"Cond Random Forest"
"na_lbi_shannon",0.00193965794926171,"Cond Random Forest"
"HA_titer_tree_lag2",22.9884354681339,"Lasso"
"HA_wolf_lag2",90.647462964908,"Lasso"
"NA_bhatt_ep_lag1",39.3815159119915,"Lasso"
"ha_lbi_shannon",0,"Lasso"
"na_lbi_shannon",0,"Lasso"
"ha_lbi_shannon_lag1",0,"Lasso"
"na_lbi_shannon_lag1",0,"Lasso"
"prior_dom_type_national",38.7144774616491,"Lasso"
"H1_cum_intensity",100,"Lasso"
"IVB_cum_intensity",0,"Lasso"
"H3_epi_size_prior",17.0362629876186,"Lasso"
"H1_epi_size_prior",0,"Lasso"
"IVB_epi_size_prior",0,"Lasso"
"vac_combined",12.6264970532444,"Lasso"
"vac_cov_combined",0,"Lasso"
"weighted_VE",0,"Lasso"
"vac_combined_prior",0,"Lasso"
"vac_cov_combined_prior",0,"Lasso"
"weighted_VE_prior_season",0,"Lasso"
"usa_bhatt_ep_mean",0,"Lasso"
"usa_wolf_ep_mean",0,"Lasso"
