"variable","importance","model"
"HA_titer_tree_lag2",0.0295227346673545,"Cond Random Forest"
"HA_wolf_lag2",0.0199395729040964,"Cond Random Forest"
"NA_bhatt_ep_lag1",0.0196734892756079,"Cond Random Forest"
"ha_lbi_shannon",0.0441145146432829,"Cond Random Forest"
"na_lbi_shannon",0.0426324274083545,"Cond Random Forest"
"ha_lbi_shannon_lag1",0.0220349714176185,"Cond Random Forest"
"na_lbi_shannon_lag1",0.0289245645865741,"Cond Random Forest"
"prior_dom_type_national",0.00530997850193979,"Cond Random Forest"
"H1_cum_intensity",0.0144475724716719,"Cond Random Forest"
"IVB_cum_intensity",0.00986076464861138,"Cond Random Forest"
"H3_epi_size_prior",0.00590649244701006,"Cond Random Forest"
"H1_epi_size_prior",0.00447525015554693,"Cond Random Forest"
"IVB_epi_size_prior",0.00604287131181843,"Cond Random Forest"
"vac_combined",0.0176153618680304,"Cond Random Forest"
"vac_cov_combined",0.0385410470188519,"Cond Random Forest"
"weighted_VE",0.0188979643884917,"Cond Random Forest"
"vac_combined_prior",0.0148301321274357,"Cond Random Forest"
"vac_cov_combined_prior",0.0344501147808725,"Cond Random Forest"
"weighted_VE_prior_season",0.00934252744667741,"Cond Random Forest"
"usa_bhatt_ep_mean",0.0339875016838024,"Cond Random Forest"
"usa_wolf_ep_mean",0.0249963946610316,"Cond Random Forest"
"HA_titer_tree_lag2",44.0606081439842,"Lasso"
"HA_wolf_lag2",0,"Lasso"
"NA_bhatt_ep_lag1",0,"Lasso"
"ha_lbi_shannon",0,"Lasso"
"na_lbi_shannon",15.4818845246394,"Lasso"
"ha_lbi_shannon_lag1",8.87162180365459,"Lasso"
"na_lbi_shannon_lag1",0,"Lasso"
"prior_dom_type_national",0,"Lasso"
"H1_cum_intensity",0,"Lasso"
"IVB_cum_intensity",0,"Lasso"
"H3_epi_size_prior",0,"Lasso"
"H1_epi_size_prior",0,"Lasso"
"IVB_epi_size_prior",0,"Lasso"
"vac_combined",0,"Lasso"
"vac_cov_combined",0,"Lasso"
"weighted_VE",0,"Lasso"
"vac_combined_prior",0,"Lasso"
"vac_cov_combined_prior",67.0357084024543,"Lasso"
"weighted_VE_prior_season",0,"Lasso"
"usa_bhatt_ep_mean",100,"Lasso"
"usa_wolf_ep_mean",0,"Lasso"
