"date","diff_weeks","month.day","new.year","season","region","dom_type","diff"
1997-09-27,1.51968532700948,"09-27","1997-01-01","1997-1998","Region 1","H3",0.183121216407247
1997-10-05,1.51868631892482,"10-05","1997-01-01","1997-1998","Region 1","H3",0.183000836502004
1997-10-12,1.51743269342402,"10-12","1997-01-01","1997-1998","Region 1","H3",0.182849775343127
1997-10-18,1.51593418946353,"10-18","1997-01-01","1997-1998","Region 1","H3",0.182669206469323
1997-10-25,1.51420062624739,"10-25","1997-01-01","1997-1998","Region 1","H3",0.182460313089084
1997-11-01,1.5122418959935,"11-01","1997-01-01","1997-1998","Region 1","H3",0.182224287209035
1997-11-09,1.51006795662746,"11-09","1997-01-01","1997-1998","Region 1","H3",0.181962328753537
1997-11-16,1.507688824418,"11-16","1997-01-01","1997-1998","Region 1","H3",0.18167564467727
1997-11-22,1.50511456656839,"11-22","1997-01-01","1997-1998","Region 1","H3",0.181365448072495
1997-11-29,1.50235529377876,"11-29","1997-01-01","1997-1998","Region 1","H3",0.181032957272816
1997-12-07,1.49942115279424,"12-07","1997-01-01","1997-1998","Region 1","H3",0.180679394955246
1997-12-14,1.49632231895453,"12-14","1997-01-01","1997-1998","Region 1","H3",0.18030598724242
1997-12-20,1.49306898875992,"12-20","1997-01-01","1997-1998","Region 1","H3",0.17991396280682
1997-12-27,1.48967137246951,"12-27","1997-01-01","1997-1998","Region 1","H3",0.17950455197885
1998-01-04,1.48613968674653,"01-04","1998-01-01","1997-1998","Region 1","H3",0.179078985860611
1998-01-11,1.4824841473661,"01-11","1998-01-01","1997-1998","Region 1","H3",0.178638495447187
1998-01-18,1.47871496199992,"01-18","1998-01-01","1997-1998","Region 1","H3",0.178184310757205
1998-01-24,1.4748423230924,"01-24","1998-01-01","1997-1998","Region 1","H3",0.177717659974409
1998-01-31,1.47087640084176,"01-31","1998-01-01","1997-1998","Region 1","H3",0.177239768601895
1998-02-08,1.46682733629964,"02-08","1998-01-01","1997-1998","Region 1","H3",0.17675185863061
1998-02-15,1.46270523460142,"02-15","1998-01-01","1997-1998","Region 1","H3",0.17625514772361
1998-02-21,1.4585201583391,"02-21","1998-01-01","1997-1998","Region 1","H3",0.175750848417502
1998-02-28,1.45428212108777,"02-28","1998-01-01","1997-1998","Region 1","H3",0.175240167342381
1998-03-08,1.4500010810954,"03-08","1998-01-01","1997-1998","Region 1","H3",0.174724304461456
1998-03-15,1.44568693514521,"03-15","1998-01-01","1997-1998","Region 1","H3",0.174204452331469
1998-03-21,1.44134951259851,"03-21","1998-01-01","1997-1998","Region 1","H3",0.173681795384857
