"date","diff_weeks","month.day","new.year","season","region","dom_type","diff"
1997-09-27,4.49910425917889,"09-27","1997-01-01","1997-1998","Region 6","H3",0.542139500882818
1997-10-05,4.44835505410979,"10-05","1997-01-01","1997-1998","Region 6","H3",0.536024250574886
1997-10-12,4.39628353636771,"10-12","1997-01-01","1997-1998","Region 6","H3",0.52974966234295
1997-10-18,4.34282615527048,"10-18","1997-01-01","1997-1998","Region 6","H3",0.523308078366
1997-10-25,4.28791231320314,"10-25","1997-01-01","1997-1998","Region 6","H3",0.51669099167164
1997-11-01,4.23146034990609,"11-01","1997-01-01","1997-1998","Region 6","H3",0.509888562245098
1997-11-09,4.17337150790581,"11-09","1997-01-01","1997-1998","Region 6","H3",0.50288888986706
1997-11-16,4.11352104258251,"11-16","1997-01-01","1997-1998","Region 6","H3",0.495676942881884
1997-11-22,4.05174534183928,"11-22","1997-01-01","1997-1998","Region 6","H3",0.488233006125074
1997-11-29,3.98782353906465,"11-29","1997-01-01","1997-1998","Region 6","H3",0.480530465295737
1997-12-07,3.9214516421351,"12-07","1997-01-01","1997-1998","Region 6","H3",0.472532689516119
1997-12-14,3.8522067076599,"12-14","1997-01-01","1997-1998","Region 6","H3",0.464188714348516
1997-12-20,3.77949822572525,"12-20","1997-01-01","1997-1998","Region 6","H3",0.455427383684623
1997-12-27,3.70250408635363,"12-27","1997-01-01","1997-1998","Region 6","H3",0.446149633740359
1998-01-04,3.62009034869143,"01-04","1998-01-01","1997-1998","Region 6","H3",0.436218825288673
1998-01-11,3.53071995526766,"01-11","1998-01-01","1997-1998","Region 6","H3",0.4254497437797
1998-01-18,3.4323705701345,"01-18","1998-01-01","1997-1998","Region 6","H3",0.413598698883498
1998-01-24,3.3225149941687,"01-24","1998-01-01","1997-1998","Region 6","H3",0.400361164545015
1998-01-31,3.19828098829327,"01-31","1998-01-01","1997-1998","Region 6","H3",0.385391037591284
1998-02-08,3.0569997976993,"02-08","1998-01-01","1997-1998","Region 6","H3",0.368366734587752
1998-02-15,2.89740489475465,"02-15","1998-01-01","1997-1998","Region 6","H3",0.349135639676063
1998-02-21,2.721521262872,"02-21","1998-01-01","1997-1998","Region 6","H3",0.327941762204168
1998-02-28,2.53647328068854,"02-28","1998-01-01","1997-1998","Region 6","H3",0.305643585740344
1998-03-08,2.35439355692075,"03-08","1998-01-01","1997-1998","Region 6","H3",0.283703082725113
1998-03-15,2.18913303040431,"03-15","1998-01-01","1997-1998","Region 6","H3",0.263789283399733
1998-03-21,2.05140246790957,"03-21","1998-01-01","1997-1998","Region 6","H3",0.247192829059989
1998-03-28,1.94583598316619,"03-28","1998-01-01","1997-1998","Region 6","H3",0.234472127771067
1998-04-04,1.87136557228853,"04-04","1998-01-01","1997-1998","Region 6","H3",0.225498485673003
1998-04-12,1.82343713615961,"04-12","1998-01-01","1997-1998","Region 6","H3",0.219723136415866
1998-04-19,1.79622587222024,"04-19","1998-01-01","1997-1998","Region 6","H3",0.216444194608642
1998-04-25,1.7840799118451,"04-25","1998-01-01","1997-1998","Region 6","H3",0.214980613300855
1998-05-02,1.78221628586683,"05-02","1998-01-01","1997-1998","Region 6","H3",0.214756047431853
1998-05-10,1.78692473921545,"05-10","1998-01-01","1997-1998","Region 6","H3",0.215323413378784
1998-05-17,1.79550801036878,"05-17","1998-01-01","1997-1998","Region 6","H3",0.216357692664381
1998-05-23,1.80610993930395,"05-23","1998-01-01","1997-1998","Region 6","H3",0.217635219063015
1998-05-30,1.81751834563565,"05-30","1998-01-01","1997-1998","Region 6","H3",0.219009925528622
1998-06-07,1.82898584713569,"06-07","1998-01-01","1997-1998","Region 6","H3",0.220391752928359
1998-06-14,1.84008497852728,"06-14","1998-01-01","1997-1998","Region 6","H3",0.221729191939823
1998-06-21,1.85059939270076,"06-21","1998-01-01","1997-1998","Region 6","H3",0.222996172859516
1998-06-27,1.86044633427608,"06-27","1998-01-01","1997-1998","Region 6","H3",0.224182723711271
1998-07-04,1.86962359124789,"07-04","1998-01-01","1998-1999","Region 6","H3",0.225288577949705
1998-07-12,1.87817441609565,"07-12","1998-01-01","1998-1999","Region 6","H3",0.22631894747396
1998-07-19,1.88616506249419,"07-19","1998-01-01","1998-1999","Region 6","H3",0.227281815814118
1998-07-25,1.89367088594661,"07-25","1998-01-01","1998-1999","Region 6","H3",0.228186263265387
1998-08-01,1.90076809937573,"08-01","1998-01-01","1998-1999","Region 6","H3",0.229041473441562
1998-08-09,1.90752916957492,"08-09","1998-01-01","1998-1999","Region 6","H3",0.229856178549972
1998-08-16,1.91402049716025,"08-16","1998-01-01","1998-1999","Region 6","H3",0.230638379827038
1998-08-22,1.92030148511302,"08-22","1998-01-01","1998-1999","Region 6","H3",0.231395235298172
1998-08-29,1.92642441750247,"08-29","1998-01-01","1998-1999","Region 6","H3",0.232133045163943
1998-09-05,1.93243478208233,"09-05","1998-01-01","1998-1999","Region 6","H3",0.232857290672769
1998-09-13,1.93837181020093,"09-13","1998-01-01","1998-1999","Region 6","H3",0.23357269917978
1998-09-20,1.94426909813871,"09-20","1998-01-01","1998-1999","Region 6","H3",0.234283319017634
1998-09-26,1.95015523189975,"09-26","1998-01-01","1998-1999","Region 6","H3",0.234992594783546
1998-10-03,1.95605437380984,"10-03","1998-01-01","1998-1999","Region 6","H3",0.235703438024007
1998-10-11,1.96198679153398,"10-11","1998-01-01","1998-1999","Region 6","H3",0.236418290981111
