"region","season","year.new","H1_cum_intensity","IVB_cum_intensity","prior_dom_type_national","H3_epi_size_prior","H1_epi_size_prior","IVB_epi_size_prior","usa_bhatt_ep_mean","usa_wolf_ep_mean","NA_bhatt_ep_lag1","NA_bhatt_nonepitope_lag1","HA_koel_lag2","HA_titer_tree_lag2","HA_wolf_lag2","HA_wolf_nonepitope_lag2","HA_std_lbi","NA_std_lbi","vac_combined","vac_combined_prior","vac_cov_combined_prior","weighted_VE","weighted_VE_prior_season","h3_dom","pred","model","dataType","object","resid"
"Region 1","1998-1999","1998",0.409423491849838,10.1113862947263,1,52.9496160959744,0,0,6.96153846153846,8.25641025641026,8.45,0.56,1.63,2.126,11.524,3.014,1.49172594383627,0.88684845728091,3.7011438,-1.6973895,0.098115,34.35,-17.3,0.884266886326194,0.770644713777036,"Conditional
Random Forest","Training","party RF",0.113622172549159
"Region 1","1998-1999","1998",0.409423491849838,10.1113862947263,1,52.9496160959744,0,0,6.96153846153846,8.25641025641026,8.45,0.56,1.63,2.126,11.524,3.014,1.49172594383627,0.88684845728091,3.7011438,-1.6973895,0.098115,34.35,-17.3,0.884266886326194,0.677086809384038,"Lasso","Training","lasso",0.207180076942157
"Region 2","1998-1999","1998",0,13.3482022301061,1,66.9451685298396,0.130323436167675,0.237726594013735,6.96153846153846,8.25641025641026,8.45,0.56,1.63,2.126,11.524,3.014,1.49172594383627,0.88684845728091,3.7011438,-1.6973895,0.098115,34.35,-17.3,0.862090680100756,0.766265550752419,"Conditional
Random Forest","Training","party RF",0.0958251293483363
"Region 2","1998-1999","1998",0,13.3482022301061,1,66.9451685298396,0.130323436167675,0.237726594013735,6.96153846153846,8.25641025641026,8.45,0.56,1.63,2.126,11.524,3.014,1.49172594383627,0.88684845728091,3.7011438,-1.6973895,0.098115,34.35,-17.3,0.862090680100756,0.677086809384038,"Lasso","Training","lasso",0.185003870716718
"Region 3","1998-1999","1998",0.0841686289478406,22.4020377084032,1,43.7515577137475,0.0852822203862793,0.267168655069345,6.96153846153846,8.25641025641026,8.45,0.56,1.63,2.126,11.524,3.014,1.49172594383627,0.88684845728091,3.7011438,-1.6973895,0.098115,34.35,-17.3,0.624742002063984,0.761765442690858,"Conditional
Random Forest","Training","party RF",-0.137023440626874
"Region 3","1998-1999","1998",0.0841686289478406,22.4020377084032,1,43.7515577137475,0.0852822203862793,0.267168655069345,6.96153846153846,8.25641025641026,8.45,0.56,1.63,2.126,11.524,3.014,1.49172594383627,0.88684845728091,3.7011438,-1.6973895,0.098115,34.35,-17.3,0.624742002063984,0.677086809384038,"Lasso","Training","lasso",-0.0523448073200543
"Region 4","1998-1999","1998",0,19.6736580005886,1,49.5358005369278,0,0.417780218891233,6.96153846153846,8.25641025641026,8.45,0.56,1.63,2.126,11.524,3.014,1.49172594383627,0.88684845728091,3.7011438,-1.6973895,0.098115,34.35,-17.3,0.703551511593777,0.763164370339272,"Conditional
Random Forest","Training","party RF",-0.059612858745494
"Region 4","1998-1999","1998",0,19.6736580005886,1,49.5358005369278,0,0.417780218891233,6.96153846153846,8.25641025641026,8.45,0.56,1.63,2.126,11.524,3.014,1.49172594383627,0.88684845728091,3.7011438,-1.6973895,0.098115,34.35,-17.3,0.703551511593777,0.677086809384038,"Lasso","Training","lasso",0.0264647022097396
"Region 5","1998-1999","1998",1.70115307892911,14.5218879295397,1,56.0518014546502,0.170089198826158,0.239739129918489,6.96153846153846,8.25641025641026,8.45,0.56,1.63,2.126,11.524,3.014,1.49172594383627,0.88684845728091,3.7011438,-1.6973895,0.098115,34.35,-17.3,0.77410633709265,0.764171118010479,"Conditional
Random Forest","Training","party RF",0.0099352190821711
"Region 5","1998-1999","1998",1.70115307892911,14.5218879295397,1,56.0518014546502,0.170089198826158,0.239739129918489,6.96153846153846,8.25641025641026,8.45,0.56,1.63,2.126,11.524,3.014,1.49172594383627,0.88684845728091,3.7011438,-1.6973895,0.098115,34.35,-17.3,0.77410633709265,0.677086809384038,"Lasso","Training","lasso",0.0970195277086126
"Region 6","1998-1999","1998",0,19.8275730037936,1,50.5841639239733,0,0,6.96153846153846,8.25641025641026,8.45,0.56,1.63,2.126,11.524,3.014,1.49172594383627,0.88684845728091,3.7011438,-1.6973895,0.098115,34.35,-17.3,0.605809128630705,0.76296094931629,"Conditional
Random Forest","Training","party RF",-0.157151820685584
"Region 6","1998-1999","1998",0,19.8275730037936,1,50.5841639239733,0,0,6.96153846153846,8.25641025641026,8.45,0.56,1.63,2.126,11.524,3.014,1.49172594383627,0.88684845728091,3.7011438,-1.6973895,0.098115,34.35,-17.3,0.605809128630705,0.677086809384038,"Lasso","Training","lasso",-0.0712776807533325
"Region 7","1998-1999","1998",0.148519357943656,13.5296403823442,1,34.9503234841123,0,0.605049934065819,6.96153846153846,8.25641025641026,8.45,0.56,1.63,2.126,11.524,3.014,1.49172594383627,0.88684845728091,3.7011438,-1.6973895,0.098115,34.35,-17.3,0.766463539323545,0.765904915749943,"Conditional
Random Forest","Training","party RF",0.000558623573602257
"Region 7","1998-1999","1998",0.148519357943656,13.5296403823442,1,34.9503234841123,0,0.605049934065819,6.96153846153846,8.25641025641026,8.45,0.56,1.63,2.126,11.524,3.014,1.49172594383627,0.88684845728091,3.7011438,-1.6973895,0.098115,34.35,-17.3,0.766463539323545,0.677086809384038,"Lasso","Training","lasso",0.0893767299395072
"Region 8","1998-1999","1998",0,5.31503048936757,1,80.2386797057501,0,0.200385887176289,6.96153846153846,8.25641025641026,8.45,0.56,1.63,2.126,11.524,3.014,1.49172594383627,0.88684845728091,3.7011438,-1.6973895,0.098115,34.35,-17.3,0.861394557823129,0.774713611401019,"Conditional
Random Forest","Training","party RF",0.0866809464221099
