"variable","importance","model"
"IVB_cum_intensity",0,"Lasso"
"prior_dom_type_national",100,"Lasso"
"H3_epi_size_prior",0,"Lasso"
"H1_epi_size_prior",0,"Lasso"
"IVB_epi_size_prior",0,"Lasso"
"usa_bhatt_ep_mean",0,"Lasso"
"usa_wolf_ep_mean",0,"Lasso"
"NA_bhatt_ep_lag1",78.0769016799605,"Lasso"
"NA_bhatt_nonepitope_lag1",0,"Lasso"
"HA_koel_lag2",3.59633147981117,"Lasso"
"HA_titer_tree_lag2",0,"Lasso"
"HA_wolf_lag2",57.8197179857647,"Lasso"
"HA_wolf_nonepitope_lag2",0,"Lasso"
"HA_std_lbi",0,"Lasso"
"NA_std_lbi",0,"Lasso"
"vac_combined",0,"Lasso"
"vac_combined_prior",0,"Lasso"
"vac_cov_combined_prior",0,"Lasso"
"weighted_VE",0,"Lasso"
"weighted_VE_prior_season",0,"Lasso"
"IVB_cum_intensity",0.0416632898151493,"Cond Random Forest"
"prior_dom_type_national",0.171151075931988,"Cond Random Forest"
"H3_epi_size_prior",0.118685302589433,"Cond Random Forest"
"H1_epi_size_prior",0.0510243065549273,"Cond Random Forest"
"IVB_epi_size_prior",0.0159168312010492,"Cond Random Forest"
"usa_bhatt_ep_mean",0.0388923153144947,"Cond Random Forest"
"usa_wolf_ep_mean",0.0320206170033429,"Cond Random Forest"
"NA_bhatt_ep_lag1",0.192303660795691,"Cond Random Forest"
"NA_bhatt_nonepitope_lag1",0.0368531304992832,"Cond Random Forest"
"HA_koel_lag2",0.0861912660867172,"Cond Random Forest"
"HA_titer_tree_lag2",0.0691028596496133,"Cond Random Forest"
"HA_wolf_lag2",0.159846875098404,"Cond Random Forest"
"HA_wolf_nonepitope_lag2",0.0665672306557238,"Cond Random Forest"
"HA_std_lbi",0.0603762395205266,"Cond Random Forest"
"NA_std_lbi",0.0383085829604168,"Cond Random Forest"
"vac_combined",0.0689245724040575,"Cond Random Forest"
"vac_combined_prior",0.0409492399564874,"Cond Random Forest"
"vac_cov_combined_prior",0.0361209011878726,"Cond Random Forest"
"weighted_VE",0.027137601783453,"Cond Random Forest"
"weighted_VE_prior_season",0.0297061578064686,"Cond Random Forest"
