replicate,season,total_sequences,north_america,other_regions,china,southeast_asia,west_asia,japan_korea,south_asia,oceania,europe,south_america,africa,percent_north_america
0,1997-1998,171,50,121,54,11,0,0,0,48,4,0,4,29.24
1,1997-1998,171,50,121,54,11,0,0,0,48,4,0,4,29.24
2,1997-1998,171,50,121,54,11,0,0,0,48,4,0,4,29.24
3,1997-1998,171,50,121,54,11,0,0,0,48,4,0,4,29.24
4,1997-1998,171,50,121,54,11,0,0,0,48,4,0,4,29.24
0,1998-1999,218,79,139,63,15,0,0,0,53,4,0,4,36.24
1,1998-1999,218,79,139,63,15,0,0,0,53,4,0,4,36.24
2,1998-1999,217,78,139,63,15,0,0,0,53,4,0,4,35.94
3,1998-1999,217,78,139,63,15,0,0,0,53,4,0,4,35.94
4,1998-1999,217,78,139,63,15,0,0,0,53,4,0,4,35.94
0,1999-2000,256,75,181,61,13,1,2,1,77,19,5,2,29.3
1,1999-2000,256,75,181,61,13,1,2,1,77,19,5,2,29.3
2,1999-2000,257,76,181,61,13,1,2,1,77,19,5,2,29.57
3,1999-2000,257,76,181,61,13,1,2,1,77,19,5,2,29.57
4,1999-2000,257,76,181,61,13,1,2,1,77,19,5,2,29.57
0,2000-2001,217,5,212,49,17,0,24,2,94,4,18,4,2.3
1,2000-2001,217,5,212,49,17,0,24,2,94,4,18,4,2.3
2,2000-2001,217,5,212,49,17,0,24,2,94,4,18,4,2.3
3,2000-2001,217,5,212,49,17,0,24,2,94,4,18,4,2.3
4,2000-2001,217,5,212,49,17,0,24,2,94,4,18,4,2.3
0,2001-2002,364,94,270,88,36,0,21,0,103,5,14,3,25.82
1,2001-2002,362,94,268,87,36,0,21,0,102,5,14,3,25.97
2,2001-2002,363,94,269,87,36,0,21,0,103,5,14,3,25.9
3,2001-2002,365,94,271,87,37,0,21,0,104,5,14,3,25.75
4,2001-2002,364,94,270,87,36,0,21,0,104,5,14,3,25.82
0,2002-2003,352,72,280,81,42,4,23,9,66,28,14,13,20.45
1,2002-2003,354,72,282,82,42,4,23,9,67,28,14,13,20.34
2,2002-2003,354,73,281,82,42,4,23,9,66,28,14,13,20.62
3,2002-2003,351,72,279,82,41,4,23,9,64,28,15,13,20.51
4,2002-2003,352,72,280,82,42,4,23,9,64,28,15,13,20.45
0,2003-2004,449,126,323,109,55,8,34,2,43,35,30,7,28.06
1,2003-2004,449,126,323,109,55,8,34,2,43,35,30,7,28.06
2,2003-2004,448,125,323,109,55,8,34,2,43,35,30,7,27.9
3,2003-2004,449,126,323,109,55,8,34,2,44,35,29,7,28.06
