"variable","importance","model"
"HA_titer_tree_lag2",0,"Lasso"
"HA_wolf_lag2",60.9537397742872,"Lasso"
"NA_bhatt_ep_lag1",76.5043325245555,"Lasso"
"ha_lbi_shannon",0,"Lasso"
"na_lbi_shannon",0,"Lasso"
"ha_lbi_shannon_lag1",0,"Lasso"
"na_lbi_shannon_lag1",0,"Lasso"
"prior_dom_type_national",100,"Lasso"
"H3_epi_size_prior",0,"Lasso"
"H1_epi_size_prior",0,"Lasso"
"IVB_epi_size_prior",0,"Lasso"
"vac_combined",0,"Lasso"
"vac_cov_combined",0,"Lasso"
"weighted_VE",0,"Lasso"
"vac_combined_prior",0,"Lasso"
"vac_cov_combined_prior",0,"Lasso"
"weighted_VE_prior_season",0,"Lasso"
"usa_bhatt_ep_mean",0,"Lasso"
"usa_wolf_ep_mean",0,"Lasso"
"HA_titer_tree_lag2",0.0864908520939757,"Cond Random Forest"
"HA_wolf_lag2",0.144749850471294,"Cond Random Forest"
"NA_bhatt_ep_lag1",0.148435023308871,"Cond Random Forest"
"ha_lbi_shannon",0.0446159337156148,"Cond Random Forest"
"na_lbi_shannon",0.0458273162259613,"Cond Random Forest"
"ha_lbi_shannon_lag1",0.0609949654532489,"Cond Random Forest"
"na_lbi_shannon_lag1",0.0455812873847061,"Cond Random Forest"
"prior_dom_type_national",0.114596792304434,"Cond Random Forest"
"H3_epi_size_prior",0.0950980019412636,"Cond Random Forest"
"H1_epi_size_prior",0.0444033185014604,"Cond Random Forest"
"IVB_epi_size_prior",0.0293902090000643,"Cond Random Forest"
"vac_combined",0.0693752475751376,"Cond Random Forest"
"vac_cov_combined",0.0370804335652461,"Cond Random Forest"
"weighted_VE",0.0294873545425849,"Cond Random Forest"
"vac_combined_prior",0.0459061772903845,"Cond Random Forest"
"vac_cov_combined_prior",0.038199437863255,"Cond Random Forest"
"weighted_VE_prior_season",0.0449379627672274,"Cond Random Forest"
"usa_bhatt_ep_mean",0.0484444650569069,"Cond Random Forest"
"usa_wolf_ep_mean",0.0404981045259333,"Cond Random Forest"
