replicate,season,total_sequences,north_america,other_regions,china,southeast_asia,west_asia,japan_korea,south_asia,oceania,europe,south_america,africa,percent_north_america
0,1997-1998,108,49,59,31,7,0,0,0,19,2,0,0,45.37
1,1997-1998,108,49,59,31,7,0,0,0,19,2,0,0,45.37
2,1997-1998,108,49,59,31,7,0,0,0,19,2,0,0,45.37
3,1997-1998,108,49,59,31,7,0,0,0,19,2,0,0,45.37
4,1997-1998,108,49,59,31,7,0,0,0,19,2,0,0,45.37
0,1998-1999,128,79,49,36,5,1,0,0,5,2,0,0,61.72
1,1998-1999,128,79,49,36,5,1,0,0,5,2,0,0,61.72
2,1998-1999,128,79,49,36,5,1,0,0,5,2,0,0,61.72
3,1998-1999,128,79,49,36,5,1,0,0,5,2,0,0,61.72
4,1998-1999,128,79,49,36,5,1,0,0,5,2,0,0,61.72
0,1999-2000,130,74,56,31,2,0,0,0,20,3,0,0,56.92
1,1999-2000,130,74,56,31,2,0,0,0,20,3,0,0,56.92
2,1999-2000,130,74,56,31,2,0,0,0,20,3,0,0,56.92
3,1999-2000,130,74,56,31,2,0,0,0,20,3,0,0,56.92
4,1999-2000,130,74,56,31,2,0,0,0,20,3,0,0,56.92
0,2000-2001,112,1,111,35,2,0,0,0,71,2,0,1,0.89
1,2000-2001,112,1,111,35,2,0,0,0,71,2,0,1,0.89
2,2000-2001,112,1,111,35,2,0,0,0,71,2,0,1,0.89
3,2000-2001,112,1,111,35,2,0,0,0,71,2,0,1,0.89
4,2000-2001,112,1,111,35,2,0,0,0,71,2,0,1,0.89
0,2001-2002,229,75,154,38,8,0,2,0,103,3,0,0,32.75
1,2001-2002,229,75,154,38,8,0,2,0,103,3,0,0,32.75
2,2001-2002,229,75,154,38,8,0,2,0,103,3,0,0,32.75
3,2001-2002,229,75,154,38,8,0,2,0,103,3,0,0,32.75
4,2001-2002,228,75,153,37,8,0,2,0,103,3,0,0,32.89
0,2002-2003,217,21,196,38,16,0,6,0,130,5,0,1,9.68
1,2002-2003,217,21,196,38,16,0,6,0,130,5,0,1,9.68
2,2002-2003,217,21,196,38,16,0,6,0,130,5,0,1,9.68
3,2002-2003,217,21,196,38,16,0,6,0,130,5,0,1,9.68
4,2002-2003,218,21,197,39,16,0,6,0,130,5,0,1,9.63
0,2003-2004,356,71,285,91,52,0,1,0,97,43,1,0,19.94
