"region","H3_max_Rt","season","year.new","HA_titer_tree_lag2","HA_wolf_lag2","NA_bhatt_ep_lag1","ha_lbi_shannon","na_lbi_shannon","ha_lbi_shannon_lag1","na_lbi_shannon_lag1","prior_dom_type_national","H1_cum_intensity","IVB_cum_intensity","H3_epi_size_prior","H1_epi_size_prior","IVB_epi_size_prior","vac_combined","vac_cov_combined","weighted_VE","vac_combined_prior","vac_cov_combined_prior","weighted_VE_prior_season","usa_bhatt_ep_mean","usa_wolf_ep_mean","pred","model","dataType","object","resid"
"Region 1",1.96163033884761,"1998-1999",1998,2.126,11.524,8.45,0.419969635783951,0.273703440699326,0.329295582944927,0.224990731572313,"H3",0.409423491849838,10.1113862947263,52.9496160959744,0,0,3.7011438,0.107748,34.35,-1.6973895,0.098115,-17.3,6.96153846153846,8.25641025641026,1.63226907766072,"Conditional
Random Forest","Training","party RF",0.329361261186888
"Region 1",1.96163033884761,"1998-1999",1998,2.126,11.524,8.45,0.419969635783951,0.273703440699326,0.329295582944927,0.224990731572313,"H3",0.409423491849838,10.1113862947263,52.9496160959744,0,0,3.7011438,0.107748,34.35,-1.6973895,0.098115,-17.3,6.96153846153846,8.25641025641026,1.65993207599142,"Lasso","Training","lasso",0.301698262856194
"Region 2",1.58604421971231,"1998-1999",1998,2.126,11.524,8.45,0.419969635783951,0.273703440699326,0.329295582944927,0.224990731572313,"H3",0,13.3482022301061,66.9451685298396,0.130323436167675,0.237726594013735,3.7011438,0.107748,34.35,-1.6973895,0.098115,-17.3,6.96153846153846,8.25641025641026,1.63898417671746,"Conditional
Random Forest","Training","party RF",-0.0529399570051565
"Region 2",1.58604421971231,"1998-1999",1998,2.126,11.524,8.45,0.419969635783951,0.273703440699326,0.329295582944927,0.224990731572313,"H3",0,13.3482022301061,66.9451685298396,0.130323436167675,0.237726594013735,3.7011438,0.107748,34.35,-1.6973895,0.098115,-17.3,6.96153846153846,8.25641025641026,1.65329010242793,"Lasso","Training","lasso",-0.0672458827156217
"Region 3",1.51181809206091,"1998-1999",1998,2.126,11.524,8.45,0.419969635783951,0.273703440699326,0.329295582944927,0.224990731572313,"H3",0.0841686289478406,22.4020377084032,43.7515577137475,0.0852822203862793,0.267168655069345,3.7011438,0.107748,34.35,-1.6973895,0.098115,-17.3,6.96153846153846,8.25641025641026,1.63260916405914,"Conditional
Random Forest","Training","party RF",-0.120791071998229
"Region 3",1.51181809206091,"1998-1999",1998,2.126,11.524,8.45,0.419969635783951,0.273703440699326,0.329295582944927,0.224990731572313,"H3",0.0841686289478406,22.4020377084032,43.7515577137475,0.0852822203862793,0.267168655069345,3.7011438,0.107748,34.35,-1.6973895,0.098115,-17.3,6.96153846153846,8.25641025641026,1.73110425202907,"Lasso","Training","lasso",-0.219286159968153
"Region 4",1.52244789594427,"1998-1999",1998,2.126,11.524,8.45,0.419969635783951,0.273703440699326,0.329295582944927,0.224990731572313,"H3",0,19.6736580005886,49.5358005369278,0,0.417780218891233,3.7011438,0.107748,34.35,-1.6973895,0.098115,-17.3,6.96153846153846,8.25641025641026,1.63772412362832,"Conditional
Random Forest","Training","party RF",-0.115276227684053
"Region 4",1.52244789594427,"1998-1999",1998,2.126,11.524,8.45,0.419969635783951,0.273703440699326,0.329295582944927,0.224990731572313,"H3",0,19.6736580005886,49.5358005369278,0,0.417780218891233,3.7011438,0.107748,34.35,-1.6973895,0.098115,-17.3,6.96153846153846,8.25641025641026,1.70982001871702,"Lasso","Training","lasso",-0.187372122772753
"Region 5",1.79154796759792,"1998-1999",1998,2.126,11.524,8.45,0.419969635783951,0.273703440699326,0.329295582944927,0.224990731572313,"H3",1.70115307892911,14.5218879295397,56.0518014546502,0.170089198826158,0.239739129918489,3.7011438,0.107748,34.35,-1.6973895,0.098115,-17.3,6.96153846153846,8.25641025641026,1.62553540581521,"Conditional
Random Forest","Training","party RF",0.16601256178271
"Region 5",1.79154796759792,"1998-1999",1998,2.126,11.524,8.45,0.419969635783951,0.273703440699326,0.329295582944927,0.224990731572313,"H3",1.70115307892911,14.5218879295397,56.0518014546502,0.170089198826158,0.239739129918489,3.7011438,0.107748,34.35,-1.6973895,0.098115,-17.3,6.96153846153846,8.25641025641026,1.66996492327785,"Lasso","Training","lasso",0.121583044320075
